ATENDIMENTO_BAIRRO_NOME;EQUIPAMENTO_URBANO_NOME;FLAG_EQUIPAMENTO_URBANO;FLAG_FLAGRANTE;LOGRADOURO_NOME;NATUREZA1_DEFESA_CIVIL;NATUREZA1_DESCRICAO;SUBCATEGORIA1_DESCRICAO;NATUREZA2_DEFESA_CIVIL;NATUREZA2_DESCRICAO;SUBCATEGORIA2_DESCRICAO;NATUREZA3_DEFESA_CIVIL;NATUREZA3_DESCRICAO;SUBCATEGORIA3_DESCRICAO;NATUREZA4_DEFESA_CIVIL;NATUREZA4_DESCRICAO;SUBCATEGORIA4_DESCRICAO;NATUREZA5_DEFESA_CIVIL;NATUREZA5_DESCRICAO;SUBCATEGORIA5_DESCRICAO;OCORRENCIA_ANO;OCORRENCIA_CODIGO;OCORRENCIA_DATA;OCORRENCIA_DIA_SEMANA;OCORRENCIA_HORA;OCORRENCIA_MES;OPERACAO_DESCRICAO;ORIGEM_CHAMADO_DESCRICAO;REGIONAL_FATO_NOME;SECRETARIA_NOME;SECRETARIA_SIGLA;SERVICO_NOME;SITUACAO_EQUIPE_DESCRICAO;NUMERO_PROTOCOLO_156
;;f;NÃO;Rua Cidade de Saudades;1;Depósito irregular;;;;;;;;;;;;;;2022;;24/11/2022;Quinta;09:33:00;11;;156;"";;;"";"";9789440
Fazendinha;;f;NÃO;Rua Pablo Picasso;0;Alarmes;;;;;;;;;;;;;;2022;;07/12/2022;Quarta;16:37:14;12;;156;Portão;;;"";"";9810419
Juvevê;;f;NÃO;RUA ALBERTO FOLLONI;0;Trânsito;;;;;;;;;;;;;;2022;;08/12/2022;Quinta;09:46:16;12;;156;Matriz;;;"";"";9811452
Campo Comprido;;f;NÃO;Rua Carlos Leopoldo Glaser;0;Alarmes;;;;;;;;;;;;;;2022;;08/12/2022;Quinta;17:18:46;12;;156;Portão;;;"";"";9812716
Pinheirinho;;f;NÃO;Rua Gumercindo Achilles Genol;0;Patrulha Maria da Penha;Visita de Medida Protetiva;;;;;;;;;;;;;2022;00024/2022;12/12/2022;Segunda;00:00:00;12;;ATENDIMENTO E ACOMPANHAMENTO DA PATRULHA MARIA DA PENHA;Pinheirinho;;;"";"";
Bigorrilho;;f;NÃO;Rua Coronel Dulcídio;0;Dano;Desordem;;;;;;;;;;;;;2022;00080/2022;12/12/2022;Segunda;00:00:00;12;;FONE;Matriz;;;"";"";
Mercês;;f;NÃO;Avenida Cândido de Abreu;0;Ameaça;;;;;;;;;;;;;;2022;00082/2022;12/12/2022;Segunda;00:00:00;12;;SETRAN;Matriz;;;"";"";
Guaíra;;f;NÃO;Rua Sergipe;0;Atos obscenos/libidinosos;;;;;;;;;;;;;;2022;00068/2022;12/12/2022;Segunda;00:00:00;12;;153;Portão;;;"";"";
Tatuquara;;f;NÃO;Rua Wacílio Zacachuka;0;Roubo;Transeunte;;;;;;;;;;;;;2022;00084/2022;12/12/2022;Segunda;00:00:00;12;;153;Tatuquara;;;"";"";
Centro;;f;NÃO;Praça Rui Barbosa;0;Apoio;Apoio à URBS;;;;;;;;;;;;;2022;00058/2022;12/12/2022;Segunda;00:00:00;12;;153;Matriz;;;"";"";
Pinheirinho;;f;NÃO;Rua João Lourenço de Paula;0;Patrulha Maria da Penha;Visita de Medida Protetiva;;;;;;;;;;;;;2022;00023/2022;12/12/2022;Segunda;00:00:00;12;;ATENDIMENTO E ACOMPANHAMENTO DA PATRULHA MARIA DA PENHA;Pinheirinho;;;"";"";
Jardim Botânico;;f;NÃO;Jardim Botânico-Evento de Natal.;0;Roubo;Transeunte;;;;;;;;;;;;;2022;00081/2022;12/12/2022;Segunda;00:00:00;12;;CIOSP (190);Matriz;;;"";"";
São Francisco;;f;NÃO;Rua Kellers;0;Dano;Pichação;;;;;;;;;;;;;2022;00067/2022;12/12/2022;Segunda;07:30:00;12;;IMEDIATA;Matriz;;;"";"";
